[ 04-26 19:37:02.761 INFO  ] RAM: 13.78 MB
[ 04-26 19:37:02.763 INFO  ] Graphics Mode: true
[ 04-26 19:37:02.763 INFO  ] Standalone: true
[ 04-26 19:37:02.764 INFO  ] Updating Directory:   D:/522mtr/mc522mtr-online-pcl-4.0-1.18.2
[ 04-26 19:37:02.764 INFO  ] Working Directory:    D:/522mtr/mc522mtr-online-pcl-4.0-1.18.2
[ 04-26 19:37:02.764 INFO  ] Executable Directory: D:/522mtr/mc522mtr-online-pcl-4.0-1.18.2
[ 04-26 19:51:34.867 DEBUG ] [4.0] old files: .minecraft/assets/objects/08/085a6cd2e023877254d1118c403f39e556c003cb
[ 04-26 19:51:34.867 DEBUG ] [4.0] old files: .minecraft/assets/objects/08/085fd0c4233a9a4a1db3a17bef69fc8a3146edbd
[ 04-26 19:51:34.868 DEBUG ] [4.0] old files: .minecraft/assets/objects/08/08626fc2a337c28b5dfdafb6daa9ea31f9a70571
[ 04-26 19:51:34.868 DEBUG ] [4.0] old files: .minecraft/assets/objects/08/087d6af9866942cb656d183aedbfca17e102eb48
[ 04-26 19:51:34.868 DEBUG ] [4.0] old files: .minecraft/assets/objects/08/087e1763f3084db6de6d58e3de827f20659a483d
[ 04-26 19:51:34.868 DEBUG ] [4.0] old files: .minecraft/assets/objects/08/08a63afa82b424db5ad217b0a861bcba419ab597
[ 04-26 19:51:34.868 DEBUG ] [4.0] old files: .minecraft/assets/objects/08/08b30f3df400bcaa7051872804891d924755270e
[ 04-26 19:51:34.868 DEBUG ] [4.0] old files: .minecraft/assets/objects/08/08b857951ccd88ebf0d67794786210bc0810f790
[ 04-26 19:51:34.868 DEBUG ] [4.0] old files: .minecraft/assets/objects/08/08ceba39c0e0a695ce4dc2a21e0fe5d7e2dbe6a4
[ 04-26 19:51:34.868 DEBUG ] [4.0] old files: .minecraft/assets/objects/08/08d3912d571693d82692458132d4de59928f16d6
[ 04-26 19:51:34.868 DEBUG ] [4.0] old files: .minecraft/assets/objects/09/09032eac266ed23615fdd565c05422b9dfd1a355
[ 04-26 19:51:34.868 DEBUG ] [4.0] old files: .minecraft/assets/objects/09/09236e1a725cec0229b8c564f5b3e4fe05cd7a5f
[ 04-26 19:51:34.868 DEBUG ] [4.0] old files: .minecraft/assets/objects/09/094e6fb30a685391c1425631591b47c63d60819d
[ 04-26 19:51:34.868 DEBUG ] [4.0] old files: .minecraft/assets/objects/09/0979bf115d081d70a985f1cfcab1b9274d6be74e
[ 04-26 19:51:34.869 DEBUG ] [4.0] old files: .minecraft/assets/objects/09/09808ded4c75b5155bd7d0e4546fa3d20233518d
[ 04-26 19:51:34.869 DEBUG ] [4.0] old files: .minecraft/assets/objects/09/099962527f625857b566bc0eb4e385ea252b23cd
[ 04-26 19:51:34.869 DEBUG ] [4.0] old files: .minecraft/assets/objects/09/09b6bbe5a03eed221630ea36b21d14e2de043b78
[ 04-26 19:51:34.869 DEBUG ] [4.0] old files: .minecraft/assets/objects/09/09bb6e40c4df7096906b3fe7c6ff1e2b1c264cce
[ 04-26 19:51:34.869 DEBUG ] [4.0] old files: .minecraft/assets/objects/09/09d6455c9e1d581e52fffd390076cb3bcb3bc0d6
[ 04-26 19:51:34.869 DEBUG ] [4.0] old files: .minecraft/assets/objects/09/09d87f230a611dbea1f270176c7b263f6c3fe674
[ 04-26 19:51:34.869 DEBUG ] [4.0] old files: .minecraft/assets/objects/09/09d91f722797cc5b7098f329eb219db508edcd0b
[ 04-26 19:51:34.869 DEBUG ] [4.0] old files: .minecraft/assets/objects/09/09da9ef8864bb14ea888807a356710723b6bd7c7
